step,loss,loss/mean,loss/std,lr,momentum
1,0.5271978974342346,0.5271978974342346,0.09535362588217876,1.418834078352173e-05,0.949240159450166
2,0.3928098678588867,0.3928098678588867,0.03762424196827062,2.0686851531520004e-05,0.9469837321071111
3,0.33746957778930664,0.33746957778930664,0.03075795712939757,3.129801896480035e-05,0.9432992989705554
4,0.29114410281181335,0.29114410281181335,0.02610499855641853,4.569933127148736e-05,0.9382988433085113
5,0.25815635919570923,0.25815635919570923,0.020469980689144948,6.345308040912339e-05,0.9321343470801654
6,0.23416240513324738,0.23416240513324738,0.014110743097349176,8.401966563745418e-05,0.9249931716536617
7,0.2237458974123001,0.2237458974123001,0.011859298063488701,0.00010677399393935571,0.9170923632155015
8,0.21942928433418274,0.21942928433418274,0.01077310962040144,0.00013102447886170713,0.9086720559507961
9,0.21600721776485443,0.21600721776485443,0.009877653721263046,0.000156034060332623,0.899988173495617
10,0.2136879414319992,0.2136879414319992,0.008424319353223617,0.0001810426065866641,0.8913046504907416
11,0.21409353613853455,0.21409353613853455,0.009748755650780752,0.00020529001732238182,0.8828854106519507
12,0.21294690668582916,0.21294690668582916,0.009132164323337086,0.000228039325903557,0.8749863451723761
13,0.2123364359140396,0.2123364359140396,0.008463955715889369,0.0002485990984445631,0.8678475352623044
14,0.2114020586013794,0.2114020586013794,0.008355472601316962,0.0002663444489905196,0.8616859552116252
15,0.21065311133861542,0.21065311133861542,0.007805270236281484,0.00028073603206479273,0.8566888777552802
16,0.21000860631465912,0.21000860631465912,0.008065347975983652,0.0002913364353315373,0.8530081821765495
17,0.20922698080539703,0.20922698080539703,0.006990997460213325,0.0002978234741408866,0.8507557381455254
18,0.20991075038909912,0.20991075038909912,0.008325744864459257,0.00029999999691817514,0.850000001027279
19,0.20811353623867035,0.20811353623867035,0.006941203808203693,0.000299578295915215,0.850140568590536
20,0.2077975869178772,0.2077975869178772,0.006735858242360397,0.00029832009576235354,0.8505599703190967
21,0.20887410640716553,0.20887410640716553,0.0074235997498004695,0.0002962324328252188,0.85125586074837
22,0.20713190734386444,0.20713190734386444,0.0068588750306876455,0.00029332698216178994,0.852224348176796
23,0.20703254640102386,0.20703254640102386,0.005858028305254524,0.00028961999223073694,0.8534600164298201
24,0.20674031972885132,0.20674031972885132,0.0058234002362708825,0.00028513219402344906,0.8549559551493375
25,0.20616184175014496,0.20616184175014496,0.005271705291688041,0.00027988868512792103,0.8567037984392201
26,0.2073083370923996,0.2073083370923996,0.0058340068341988715,0.0002739187893728615,0.8586937716507994
27,0.20710784196853638,0.20710784196853638,0.006472908957181334,0.00026725589283694705,0.8609147460466685
28,0.20568250119686127,0.20568250119686127,0.005556966971439169,0.00025993725714032814,0.8633543010370948
29,0.20468072593212128,0.20468072593212128,0.004591101763788403,0.00025200381106253445,0.8659987936409964
30,0.20578241348266602,0.20578241348266602,0.004839527969765476,0.00024349992165213725,0.8688334347830267
31,0.2054830640554428,0.2054830640554428,0.0050728506184376,0.00023447314610821718,0.8718423720000823
32,0.20464514195919037,0.20464514195919037,0.00442733339122338,0.00022497396582121568,0.8750087780947071
33,0.20482328534126282,0.20482328534126282,0.004874636449164228,0.0002150555040605228,0.8783149452396066
34,0.20474322140216827,0.20474322140216827,0.004499142523278522,0.00020477322888760575,0.8817423840070008
35,0.2046181708574295,0.2046181708574295,0.004255061535266948,0.00019418464295610936,0.8852719267690039
36,0.2046813666820526,0.2046813666820526,0.0043646475236921774,0.00018334896193369145,0.8888838348907757
37,0.20390155911445618,0.20390155911445618,0.003779061831916213,0.00017232678334398957,0.8925579091169733
38,0.20368237793445587,0.20368237793445587,0.0036319246961662873,0.00016117974768068772,0.8962736025341809
39,0.2036094218492508,0.2036094218492508,0.0032947298331364554,0.0001499701936888724,0.9000101354775845
40,0.20336799323558807,0.20336799323558807,0.003505226937443587,0.00013876080974148286,0.9037466117392859
41,0.20335526764392853,0.20335526764392853,0.0030860074456674357,0.00012761428326050093,0.9074621354283747
42,0.2029685527086258,0.2029685527086258,0.0028737445825794882,0.00011659295014345901,0.9111359278292249
43,0.20354290306568146,0.20354290306568146,0.003494070981464628,0.00010575844615581506,0.9147474436045027
44,0.20291796326637268,0.20291796326637268,0.0027419733989257986,9.517136223875065e-05,0.9182764856930259
45,0.20295077562332153,0.20295077562332153,0.0025306415935117126,8.48909056600497e-05,0.9217033182599231
46,0.20274797081947327,0.20274797081947327,0.0022426241271735823,7.49745689030406e-05,0.925008777067428
47,0.2027100771665573,0.2027100771665573,0.002366267186674924,6.547780814530778e-05,0.9281743766490707
48,0.2024923712015152,0.2024923712015152,0.0021258458610759457,5.645373312525223e-05,0.931182413687904
49,0.2023400217294693,0.2023400217294693,0.0017722029595350314,4.79528101308905e-05,0.9340160660206339
50,0.20249782502651215,0.20249782502651215,0.0022583895185530833,4.0022579771901485e-05,0.9366594867139797
51,0.20271433889865875,0.20271433889865875,0.002615406248279073,3.270739111325254e-05,0.9390978926871532
52,0.20232662558555603,0.20232662558555603,0.0017999091332039081,2.6048153657238658e-05,0.9413176473848432
53,0.20220382511615753,0.20220382511615753,0.0015460383634483181,2.0082108560951307e-05,0.9433063370383643
54,0.20215371251106262,0.20215371251106262,0.0015105415483819317,1.4842620368621324e-05,0.9450528400884866
55,0.20227669179439545,0.20227669179439545,0.001751979673681155,1.035899042355388e-05,0.9465473893817062
56,0.2023921012878418,0.2023921012878418,0.002057303690656077,6.656293003130807e-06,0.9477816267921302
57,0.20220500230789185,0.20220500230789185,0.001702242272655216,3.7552350932805896e-06,0.9487486499635063
58,0.2021959275007248,0.2021959275007248,0.0016269351757058185,1.6720405866133769e-06,0.9494430509099991
59,0.20213280618190765,0.20213280618190765,0.0015085973894025599,4.1835955183257024e-07,0.9498609462598409
60,0.20207881927490234,0.20207881927490234,0.001297039116184714,1.2030818248747524e-09,0.9499999989727209
